Designator,Mid X,Mid Y,Rotation,Layer
BT1,102.835,-36.58,0.0,top
BT2,39.135,-38.68,0.0,top
D1,46.635,-56.62,0.0,top
D10,81.365,-86.62,0.0,top
D11,61.595,-56.62,0.0,top
D12,61.595,-64.09,0.0,top
D13,61.595,-71.56,0.0,top
D14,61.595,-79.03,0.0,top
D15,61.595,-86.5,0.0,top
D16,71.365,-56.62,0.0,top
D17,71.635,-71.68,0.0,top
D18,71.635,-79.15,0.0,top
D19,71.635,-86.62,0.0,top
D2,46.635,-64.09,0.0,top
D3,46.635,-71.56,0.0,top
D4,46.635,-79.03,0.0,top
D5,46.635,-86.5,0.0,top
D6,81.365,-56.74,0.0,top
D7,81.365,-64.21,0.0,top
D8,54.115,-71.56,0.0,top
D9,81.365,-71.62,0.0,top
SW1,80.585,-41.43,0.0,top
